TID.string(),TSource.string(),TTestName.string(),TType.string(),TDescription.string(),TIssueName.string(),TIssueType.string(),TSeverity.int32(),TTesterSupport.string(),TPhase.string(),TSection.string(),TStep.string(),TIssueBackground.string(),TRemediationBackground.string(),TRef1.string(),TRef2.string(),TTRef.string(),TCweID.string(),TPCI.boolean(),TTop10.boolean(),TTop25.boolean(),TStdTest.boolean()
ASVS-V05.05.4,OWASP-ASVS,"L1/L2/L3 Verify that when parsing JSON in browsers or JavaScript-based backends,...","Validation, Sanitization and Encoding Verification Requirements","Verify that when parsing JSON in browsers or JavaScript-based backends, JSON.par...",,,,"Verify that when parsing JSON in browsers or JavaScript-based backends, JSON.parse is used to parse the JSON document. Do not use eval() to parse JSON.","V5 Validation, Sanitization and Encoding Verification Requirements",V5.5 Deserialization Prevention Requirements,159,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x13-V5-Validation-Sanitization-Encoding.md,95,,,,TRUE
ASVS-V06.01.1,OWASP-ASVS,"L2/L3 Verify that regulated private data is stored encrypted while at rest, such...",Stored Cryptography Verification Requirements,"Verify that regulated private data is stored encrypted while at rest, such as Pe...",,,,"Verify that regulated private data is stored encrypted while at rest, such as Personally Identifiable Information (PII), sensitive personal information, or data assessed likely to be subject to EU's GDPR.",V6 Stored Cryptography Verification Requirements,V6.1 Data Classification,160,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,311,,,,
ASVS-V06.01.2,OWASP-ASVS,"L2/L3 Verify that regulated health data is stored encrypted while at rest, such ...",Stored Cryptography Verification Requirements,"Verify that regulated health data is stored encrypted while at rest, such as med...",,,,"Verify that regulated health data is stored encrypted while at rest, such as medical records, medical device details, or de-anonymized research records.",V6 Stored Cryptography Verification Requirements,V6.1 Data Classification,161,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,311,,,,
ASVS-V06.01.3,OWASP-ASVS,"L2/L3 Verify that regulated financial data is stored encrypted while at rest, su...",Stored Cryptography Verification Requirements,"Verify that regulated financial data is stored encrypted while at rest, such as ...",,,,"Verify that regulated financial data is stored encrypted while at rest, such as financial accounts, defaults or credit history, tax records, pay history, beneficiaries, or de-anonymized market or research records.",V6 Stored Cryptography Verification Requirements,V6.1 Data Classification,162,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,311,,,,
ASVS-V06.02.1,OWASP-ASVS,"L1/L2/L3 Verify that all cryptographic modules fail securely, and errors are han...",Stored Cryptography Verification Requirements,"Verify that all cryptographic modules fail securely, and errors are handled in a...",,,,"Verify that all cryptographic modules fail securely, and errors are handled in a way that does not enable Padding Oracle attacks.",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,163,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,310,,,,
ASVS-V06.02.2,OWASP-ASVS,L2/L3 Verify that industry proven or government approved cryptographic algorithm...,Stored Cryptography Verification Requirements,"Verify that industry proven or government approved cryptographic algorithms, mod...",,,,"Verify that industry proven or government approved cryptographic algorithms, modes, and libraries are used, instead of custom coded cryptography. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering))",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,164,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,327,,,,
ASVS-V06.02.3,OWASP-ASVS,"L2/L3 Verify that encryption initialization vector, cipher configuration, and bl...",Stored Cryptography Verification Requirements,"Verify that encryption initialization vector, cipher configuration, and block mo...",,,,"Verify that encryption initialization vector, cipher configuration, and block modes are configured securely using the latest advice.",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,165,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,326,,,,
ASVS-V06.02.4,OWASP-ASVS,"L2/L3 Verify that random number, encryption or hashing algorithms, key lengths, ...",Stored Cryptography Verification Requirements,"Verify that random number, encryption or hashing algorithms, key lengths, rounds...",,,,"Verify that random number, encryption or hashing algorithms, key lengths, rounds, ciphers or modes, can be reconfigured, upgraded, or swapped at any time, to protect against cryptographic breaks. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering))",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,166,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,326,,,,
ASVS-V06.02.5,OWASP-ASVS,"L2/L3 Verify that known insecure block modes (i.e. ECB, etc.), padding modes (i....",Stored Cryptography Verification Requirements,"Verify that known insecure block modes (i.e. ECB, etc.), padding modes (i.e. PKC...",,,,"Verify that known insecure block modes (i.e. ECB, etc.), padding modes (i.e. PKCS#1 v1.5, etc.), ciphers with small block sizes (i.e. Triple-DES, Blowfish, etc.), and weak hashing algorithms (i.e. MD5, SHA1, etc.) are not used unless required for backwards compatibility.",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,167,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,326,,,,
ASVS-V06.02.6,OWASP-ASVS,"L2/L3 Verify that nonces, initialization vectors, and other single use numbers m...",Stored Cryptography Verification Requirements,"Verify that nonces, initialization vectors, and other single use numbers must no...",,,,"Verify that nonces, initialization vectors, and other single use numbers must not be used more than once with a given encryption key. The method of generation must be appropriate for the algorithm being used.",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,168,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,326,,,,
ASVS-V06.02.7,OWASP-ASVS,"L3 Verify that encrypted data is authenticated via signatures, authenticated cip...",Stored Cryptography Verification Requirements,"Verify that encrypted data is authenticated via signatures, authenticated cipher...",,,,"Verify that encrypted data is authenticated via signatures, authenticated cipher modes, or HMAC to ensure that ciphertext is not altered by an unauthorized party.",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,169,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,326,,,,
ASVS-V06.02.8,OWASP-ASVS,"L3 Verify that all cryptographic operations are constant-time, with no 'short-ci...",Stored Cryptography Verification Requirements,"Verify that all cryptographic operations are constant-time, with no 'short-circu...",,,,"Verify that all cryptographic operations are constant-time, with no 'short-circuit' operations in comparisons, calculations, or returns, to avoid leaking information.",V6 Stored Cryptography Verification Requirements,V6.2 Algorithms,170,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,385,,,,
ASVS-V06.03.1,OWASP-ASVS,"L2/L3 Verify that all random numbers, random file names, random GUIDs, and rando...",Stored Cryptography Verification Requirements,"Verify that all random numbers, random file names, random GUIDs, and random stri...",,,,"Verify that all random numbers, random file names, random GUIDs, and random strings are generated using the cryptographic module's approved cryptographically secure random number generator when these random values are intended to be not guessable by an attacker.",V6 Stored Cryptography Verification Requirements,V6.3 Random Values,171,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,338,,,,
ASVS-V06.03.2,OWASP-ASVS,"L2/L3 Verify that random GUIDs are created using the GUID v4 algorithm, and a Cr...",Stored Cryptography Verification Requirements,"Verify that random GUIDs are created using the GUID v4 algorithm, and a Cryptogr...",,,,"Verify that random GUIDs are created using the GUID v4 algorithm, and a Cryptographically-secure Pseudo-random Number Generator (CSPRNG). GUIDs created using other pseudo-random number generators may be predictable.",V6 Stored Cryptography Verification Requirements,V6.3 Random Values,172,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,338,,,,
ASVS-V06.03.3,OWASP-ASVS,L3 Verify that random numbers are created with proper entropy even when the appl...,Stored Cryptography Verification Requirements,Verify that random numbers are created with proper entropy even when the applica...,,,,"Verify that random numbers are created with proper entropy even when the application is under heavy load, or that the application degrades gracefully in such circumstances.",V6 Stored Cryptography Verification Requirements,V6.3 Random Values,173,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,338,,,,
ASVS-V06.04.1,OWASP-ASVS,L2/L3 Verify that a secrets management solution such as a key vault is used to s...,Stored Cryptography Verification Requirements,Verify that a secrets management solution such as a key vault is used to securel...,,,,"Verify that a secrets management solution such as a key vault is used to securely create, store, control access to and destroy secrets. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering))",V6 Stored Cryptography Verification Requirements,V6.4 Secret Management,174,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,798,,,,
ASVS-V06.04.2,OWASP-ASVS,L2/L3 Verify that key material is not exposed to the application but instead use...,Stored Cryptography Verification Requirements,Verify that key material is not exposed to the application but instead uses an i...,,,,Verify that key material is not exposed to the application but instead uses an isolated security module like a vault for cryptographic operations. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering)),V6 Stored Cryptography Verification Requirements,V6.4 Secret Management,175,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x14-V6-Cryptography.md,320,,,,
ASVS-V07.01.1,OWASP-ASVS,L1/L2/L3 Verify that the application does not log credentials or payment details...,Error Handling and Logging Verification Requirements,Verify that the application does not log credentials or payment details. Session...,,,,"Verify that the application does not log credentials or payment details. Session tokens should only be stored in logs in an irreversible, hashed form. ([C9, C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",V7 Error Handling and Logging Verification Requirements,V7.1 Log Content Requirements,176,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,532,,,,
ASVS-V07.01.2,OWASP-ASVS,L1/L2/L3 Verify that the application does not log other sensitive data as define...,Error Handling and Logging Verification Requirements,Verify that the application does not log other sensitive data as defined under l...,,,,Verify that the application does not log other sensitive data as defined under local privacy laws or relevant security policy. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),V7 Error Handling and Logging Verification Requirements,V7.1 Log Content Requirements,177,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,532,,,,
ASVS-V07.01.3,OWASP-ASVS,L2/L3 Verify that the application logs security relevant events including succes...,Error Handling and Logging Verification Requirements,Verify that the application logs security relevant events including successful a...,,,,"Verify that the application logs security relevant events including successful and failed authentication events, access control failures, deserialization failures and input validation failures. ([C5, C7](https://owasp.org/www-project-proactive-controls/#div-numbering))",V7 Error Handling and Logging Verification Requirements,V7.1 Log Content Requirements,178,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,778,,,,
ASVS-V07.01.4,OWASP-ASVS,L2/L3 Verify that each log event includes necessary information that would allow...,Error Handling and Logging Verification Requirements,Verify that each log event includes necessary information that would allow for a...,,,,Verify that each log event includes necessary information that would allow for a detailed investigation of the timeline when an event happens. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),V7 Error Handling and Logging Verification Requirements,V7.1 Log Content Requirements,179,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,778,,,,
ASVS-V07.02.1,OWASP-ASVS,"L2/L3 Verify that all authentication decisions are logged, without storing sensi...",Error Handling and Logging Verification Requirements,"Verify that all authentication decisions are logged, without storing sensitive s...",,,,"Verify that all authentication decisions are logged, without storing sensitive session tokens or passwords. This should include requests with relevant metadata needed for security investigations. ",V7 Error Handling and Logging Verification Requirements,V7.2 Log Processing Requirements,180,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,778,,,,
ASVS-V07.02.2,OWASP-ASVS,L2/L3 Verify that all access control decisions can be logged and all failed deci...,Error Handling and Logging Verification Requirements,Verify that all access control decisions can be logged and all failed decisions ...,,,,Verify that all access control decisions can be logged and all failed decisions are logged. This should include requests with relevant metadata needed for security investigations.,V7 Error Handling and Logging Verification Requirements,V7.2 Log Processing Requirements,181,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,285,,,,
ASVS-V07.03.1,OWASP-ASVS,L2/L3 Verify that the application appropriately encodes user-supplied data to pr...,Error Handling and Logging Verification Requirements,Verify that the application appropriately encodes user-supplied data to prevent ...,,,,Verify that the application appropriately encodes user-supplied data to prevent log injection. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),V7 Error Handling and Logging Verification Requirements,V7.3 Log Protection Requirements,182,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,117,,,,
ASVS-V07.03.2,OWASP-ASVS,L2/L3 Verify that all events are protected from injection when viewed in log vie...,Error Handling and Logging Verification Requirements,Verify that all events are protected from injection when viewed in log viewing s...,,,,Verify that all events are protected from injection when viewed in log viewing software. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),V7 Error Handling and Logging Verification Requirements,V7.3 Log Protection Requirements,183,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,117,,,,
ASVS-V07.03.3,OWASP-ASVS,L2/L3 Verify that security logs are protected from unauthorized access and modif...,Error Handling and Logging Verification Requirements,Verify that security logs are protected from unauthorized access and modificatio...,,,,Verify that security logs are protected from unauthorized access and modification. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),V7 Error Handling and Logging Verification Requirements,V7.3 Log Protection Requirements,184,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,200,,,,
ASVS-V07.03.4,OWASP-ASVS,L2/L3 Verify that time sources are synchronized to the correct time and time zon...,Error Handling and Logging Verification Requirements,Verify that time sources are synchronized to the correct time and time zone. Str...,,,,Verify that time sources are synchronized to the correct time and time zone. Strongly consider logging only in UTC if systems are global to assist with post-incident forensic analysis. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),V7 Error Handling and Logging Verification Requirements,V7.3 Log Protection Requirements,185,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,0,,,,
ASVS-V07.04.1,OWASP-ASVS,L1/L2/L3 Verify that a generic message is shown when an unexpected or security s...,Error Handling and Logging Verification Requirements,Verify that a generic message is shown when an unexpected or security sensitive ...,,,,"Verify that a generic message is shown when an unexpected or security sensitive error occurs, potentially with a unique ID which support personnel can use to investigate.  ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",V7 Error Handling and Logging Verification Requirements,V7.4 Error Handling,186,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,210,,,,
ASVS-V07.04.2,OWASP-ASVS,L2/L3 Verify that exception handling (or a functional equivalent) is used across...,Error Handling and Logging Verification Requirements,Verify that exception handling (or a functional equivalent) is used across the c...,,,,Verify that exception handling (or a functional equivalent) is used across the codebase to account for expected and unexpected error conditions. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering)),V7 Error Handling and Logging Verification Requirements,V7.4 Error Handling,187,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,544,,,,
ASVS-V07.04.3,OWASP-ASVS,"L2/L3 Verify that a ""last resort"" error handler is defined which will catch all ...",Error Handling and Logging Verification Requirements,"Verify that a ""last resort"" error handler is defined which will catch all unhand...",,,,"Verify that a ""last resort"" error handler is defined which will catch all unhandled exceptions. ([C10](https://owasp.org/www-project-proactive-controls/#div-numbering))",V7 Error Handling and Logging Verification Requirements,V7.4 Error Handling,188,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x15-V7-Error-Logging.md,431,,,,
ASVS-V08.01.1,OWASP-ASVS,L2/L3 Verify the application protects sensitive data from being cached in server...,Data Protection Verification Requirements,Verify the application protects sensitive data from being cached in server compo...,,,,Verify the application protects sensitive data from being cached in server components such as load balancers and application caches.,V8 Data Protection Verification Requirements,V8.1 General Data Protection,189,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,524,,,,
ASVS-V08.01.2,OWASP-ASVS,L2/L3 Verify that all cached or temporary copies of sensitive data stored on the...,Data Protection Verification Requirements,Verify that all cached or temporary copies of sensitive data stored on the serve...,,,,Verify that all cached or temporary copies of sensitive data stored on the server are protected from unauthorized access or purged/invalidated after the authorized user accesses the sensitive data.,V8 Data Protection Verification Requirements,V8.1 General Data Protection,190,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,524,,,,
ASVS-V08.01.3,OWASP-ASVS,"L2/L3 Verify the application minimizes the number of parameters in a request, su...",Data Protection Verification Requirements,"Verify the application minimizes the number of parameters in a request, such as ...",,,,"Verify the application minimizes the number of parameters in a request, such as hidden fields, Ajax variables, cookies and header values.",V8 Data Protection Verification Requirements,V8.1 General Data Protection,191,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,233,,,,
ASVS-V08.01.4,OWASP-ASVS,L2/L3 Verify the application can detect and alert on abnormal numbers of request...,Data Protection Verification Requirements,"Verify the application can detect and alert on abnormal numbers of requests, suc...",,,,"Verify the application can detect and alert on abnormal numbers of requests, such as by IP, user, total per hour or day, or whatever makes sense for the application.",V8 Data Protection Verification Requirements,V8.1 General Data Protection,192,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,770,,,,
ASVS-V08.01.5,OWASP-ASVS,L3 Verify that regular backups of important data are performed and that test res...,Data Protection Verification Requirements,Verify that regular backups of important data are performed and that test restor...,,,,Verify that regular backups of important data are performed and that test restoration of data is performed.,V8 Data Protection Verification Requirements,V8.1 General Data Protection,193,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,19,,,,
ASVS-V08.01.6,OWASP-ASVS,L3 Verify that backups are stored securely to prevent data from being stolen or ...,Data Protection Verification Requirements,Verify that backups are stored securely to prevent data from being stolen or cor...,,,,Verify that backups are stored securely to prevent data from being stolen or corrupted.,V8 Data Protection Verification Requirements,V8.1 General Data Protection,194,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,19,,,,
ASVS-V08.02.1,OWASP-ASVS,L1/L2/L3 Verify the application sets sufficient anti-caching headers so that sen...,Data Protection Verification Requirements,Verify the application sets sufficient anti-caching headers so that sensitive da...,,,,Verify the application sets sufficient anti-caching headers so that sensitive data is not cached in modern browsers.,V8 Data Protection Verification Requirements,V8.2 Client-side Data Protection,195,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,525,,,,
ASVS-V08.02.2,OWASP-ASVS,L1/L2/L3 Verify that data stored in browser storage (such as HTML5 local storage...,Data Protection Verification Requirements,"Verify that data stored in browser storage (such as HTML5 local storage, session...",,,,"Verify that data stored in browser storage (such as HTML5 local storage, session storage, IndexedDB, or cookies) does not contain sensitive data or PII.",V8 Data Protection Verification Requirements,V8.2 Client-side Data Protection,196,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,922,,,,
ASVS-V08.02.3,OWASP-ASVS,"L1/L2/L3 Verify that authenticated data is cleared from client storage, such as ...",Data Protection Verification Requirements,"Verify that authenticated data is cleared from client storage, such as the brows...",,,,"Verify that authenticated data is cleared from client storage, such as the browser DOM, after the client or session is terminated.",V8 Data Protection Verification Requirements,V8.2 Client-side Data Protection,197,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,922,,,,
ASVS-V08.03.1,OWASP-ASVS,L1/L2/L3 Verify that sensitive data is sent to the server in the HTTP message bo...,Data Protection Verification Requirements,Verify that sensitive data is sent to the server in the HTTP message body or hea...,,,,"Verify that sensitive data is sent to the server in the HTTP message body or headers, and that query string parameters from any HTTP verb do not contain sensitive data.",V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,198,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,319,,,,
ASVS-V08.03.2,OWASP-ASVS,L1/L2/L3 Verify that users have a method to remove or export their data on deman...,Data Protection Verification Requirements,Verify that users have a method to remove or export their data on demand....,,,,Verify that users have a method to remove or export their data on demand.,V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,199,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,212,,,,
ASVS-V08.03.3,OWASP-ASVS,L1/L2/L3 Verify that users are provided clear language regarding collection and ...,Data Protection Verification Requirements,Verify that users are provided clear language regarding collection and use of su...,,,,Verify that users are provided clear language regarding collection and use of supplied personal information and that users have provided opt-in consent for the use of that data before it is used in any way.,V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,200,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,285,,,,
ASVS-V08.03.4,OWASP-ASVS,L1/L2/L3 Verify that all sensitive data created and processed by the application...,Data Protection Verification Requirements,Verify that all sensitive data created and processed by the application has been...,,,,"Verify that all sensitive data created and processed by the application has been identified, and ensure that a policy is in place on how to deal with sensitive data. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering))",V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,201,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,200,,,,
ASVS-V08.03.5,OWASP-ASVS,L2/L3 Verify accessing sensitive data is audited (without logging the sensitive ...,Data Protection Verification Requirements,Verify accessing sensitive data is audited (without logging the sensitive data i...,,,,"Verify accessing sensitive data is audited (without logging the sensitive data itself), if the data is collected under relevant data protection directives or where logging of access is required.",V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,202,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,532,,,,
ASVS-V08.03.6,OWASP-ASVS,L2/L3 Verify that sensitive information contained in memory is overwritten as so...,Data Protection Verification Requirements,Verify that sensitive information contained in memory is overwritten as soon as ...,,,,"Verify that sensitive information contained in memory is overwritten as soon as it is no longer required to mitigate memory dumping attacks, using zeroes or random data.",V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,203,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,226,,,,
ASVS-V08.03.7,OWASP-ASVS,L2/L3 Verify that sensitive or private information that is required to be encryp...,Data Protection Verification Requirements,"Verify that sensitive or private information that is required to be encrypted, i...",,,,"Verify that sensitive or private information that is required to be encrypted, is encrypted using approved algorithms that provide both confidentiality and integrity. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering))",V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,204,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,327,,,,
ASVS-V08.03.8,OWASP-ASVS,L2/L3 Verify that sensitive personal information is subject to data retention cl...,Data Protection Verification Requirements,Verify that sensitive personal information is subject to data retention classifi...,,,,"Verify that sensitive personal information is subject to data retention classification, such that old or out of date data is deleted automatically, on a schedule, or as the situation requires.",V8 Data Protection Verification Requirements,V8.3 Sensitive Private Data,205,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x16-V8-Data-Protection.md,285,,,,
ASVS-V09.01.1,OWASP-ASVS,"L1/L2/L3 Verify that secured TLS is used for all client connectivity, and does n...",Communications Verification Requirements,"Verify that secured TLS is used for all client connectivity, and does not fall b...",,,,"Verify that secured TLS is used for all client connectivity, and does not fall back to insecure or unencrypted protocols. ([C8](https://owasp.org/www-project-proactive-controls/#div-numbering))",V9 Communications Verification Requirements,V9.1 Client Communications Security Requirements,206,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,319,,,,
ASVS-V09.01.2,OWASP-ASVS,L1/L2/L3 Verify using online or up to date TLS testing tools that only strong al...,Communications Verification Requirements,"Verify using online or up to date TLS testing tools that only strong algorithms,...",,,,"Verify using online or up to date TLS testing tools that only strong algorithms, ciphers, and protocols are enabled, with the strongest algorithms and ciphers set as preferred.",V9 Communications Verification Requirements,V9.1 Client Communications Security Requirements,207,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,326,,,,
ASVS-V09.01.3,OWASP-ASVS,"L1/L2/L3 Verify that old versions of SSL and TLS protocols, algorithms, ciphers,...",Communications Verification Requirements,"Verify that old versions of SSL and TLS protocols, algorithms, ciphers, and conf...",,,,"Verify that old versions of SSL and TLS protocols, algorithms, ciphers, and configuration are disabled, such as SSLv2, SSLv3, or TLS 1.0 and TLS 1.1. The latest version of TLS should be the preferred cipher suite.",V9 Communications Verification Requirements,V9.1 Client Communications Security Requirements,208,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,326,,,,
ASVS-V09.02.1,OWASP-ASVS,L2/L3 Verify that connections to and from the server use trusted TLS certificate...,Communications Verification Requirements,Verify that connections to and from the server use trusted TLS certificates. Whe...,,,,"Verify that connections to and from the server use trusted TLS certificates. Where internally generated or self-signed certificates are used, the server must be configured to only trust specific internal CAs and specific self-signed certificates. All others should be rejected.",V9 Communications Verification Requirements,V9.2 Server Communications Security Requirements,209,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,295,,,,
ASVS-V09.02.2,OWASP-ASVS,L2/L3 Verify that encrypted communications such as TLS is used for all inbound a...,Communications Verification Requirements,Verify that encrypted communications such as TLS is used for all inbound and out...,,,,"Verify that encrypted communications such as TLS is used for all inbound and outbound connections, including for management ports, monitoring, authentication, API, or web service calls, database, cloud, serverless, mainframe, external, and partner connections. The server must not fall back to insecure or unencrypted protocols.",V9 Communications Verification Requirements,V9.2 Server Communications Security Requirements,210,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,319,,,,
ASVS-V09.02.3,OWASP-ASVS,L2/L3 Verify that all encrypted connections to external systems that involve sen...,Communications Verification Requirements,Verify that all encrypted connections to external systems that involve sensitive...,,,,Verify that all encrypted connections to external systems that involve sensitive information or functions are authenticated.,V9 Communications Verification Requirements,V9.2 Server Communications Security Requirements,211,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,287,,,,
ASVS-V09.02.4,OWASP-ASVS,"L2/L3 Verify that proper certification revocation, such as Online Certificate St...",Communications Verification Requirements,"Verify that proper certification revocation, such as Online Certificate Status P...",,,,"Verify that proper certification revocation, such as Online Certificate Status Protocol (OCSP) Stapling, is enabled and configured.",V9 Communications Verification Requirements,V9.2 Server Communications Security Requirements,212,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,299,,,,
ASVS-V09.02.5,OWASP-ASVS,L3 Verify that backend TLS connection failures are logged....,Communications Verification Requirements,Verify that backend TLS connection failures are logged....,,,,Verify that backend TLS connection failures are logged.,V9 Communications Verification Requirements,V9.2 Server Communications Security Requirements,213,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x17-V9-Communications.md,544,,,,
